Id_bien;Id_codedep_codecommune;No_voie;BTQ;Type_de_voie;Voie;Nombre_de_piece;Surface Carrez du 1er lot;Surface_local;Type_de_location
1;02408;30;;RUE;SERURIER;1;26,4;27;2
2;02722;30;;AV;DU GENERAL DE GAULLE;1;23,7;25;2
3;04079;5029;;RUE;DE LA GRANDE FONTAINE;5;119,4;116;2
4;04209;9018;;AV;JEAN JAURES;4;67,58;68;2
5;05098;5244;;;PRE LONGIS;1;30,34;31;2
6;06085;203;;AV;DES PINS L AUBAREDE;4;88,42;86;1
7;06088;93;;AV;DE RIMIEZ;6;288,59;277;1
8;06088;4;;QUAI;PAPACINO;2;38,78;39;2
9;06088;39;;PROM;DES ANGLAIS;3;84,01;83;2
10;06153;5433;;;SAINT PIERRE;1;28,95;30;2
11;06159;28;;AV;DE LA GRANDE BRETAGNE;5;106,76;125;2
12;07304;575;A;RTE;DE BARJAC;1;35,02;36;2
13;10387;33;;RUE;GEORGES SEURAT;4;82,68;82;2
14;10387;73;;AV;PASTEUR;1;22,41;25;2
15;10387;31;;AV;MAJOR GEN GEORGES VANIER;4;72,93;72;2
16;10387;40;;RUE;PAILLOT DE MONTABERT;3;100,8;112;2
17;10387;1;;RUE;TURENNE;2;63,2;63;2
18;11069;3;;RUE;AUGER GAILLARD;3;60,03;64;2
19;11206;1;;CHE;DE LA TRAMONTANE;3;54,42;54;2
20;11262;12;;CHE;ST JEAN;3;60;60;2
21;14059;20;;RUE;BUTEMPS;3;42,37;40;1
22;14333;10;;PL;DU PUITS;1;20,05;40;2
23;14366;87;;AV;GUILLAUME LE CONQUERANT;3;53,74;54;2
24;14699;8;;RUE;EMILE DUPONT;3;64,41;65;2
25;14754;4;;RUE;DES GOELANDS;3;45,48;45;1
26;22278;18;;RUE;ALFRED DE VIGNY;3;61,96;62;2
27;26057;7;;PL;DE DELAY D AGIER;3;69,14;72;2
28;26198;10;;RUE;SAINTE CROIX;1;35,07;40;2
29;26198;10;;RUE;SAINTE CROIX;3;99,95;100;2
30;26281;36;;QUAI;CHOPIN;4;155,83;150;2
31;26362;63;A;RUE;DE L ISLE;3;60,05;58;2
32;26362;1;;RUE;DE L ESPERANCE;5;109,46;110;2
33;27681;28;;RUE;ECURIES DES GARDES;2;55,35;55;2
34;28085;16;;RUE;JULES HETZEL;3;63,95;64;2
35;28088;13;;RUE;DE LA MADELEINE;3;43,57;60;2
36;28134;26;;RUE;DE LA SABLONNIERE;3;57,31;56;2
37;29151;15;;RUE;DE BREST;5;134,5;108;1
38;29233;11;;RUE;ELLE;1;27,82;34;2
39;30189;16;;RUE;MICHEL DE CUBIERES;3;81,14;84;2
40;30189;30;;RUE;DHUODA;2;35,07;34;2
41;30189;30;;RUE;DHUODA;1;19,19;18;2
42;30189;2;;RUE;CREBILLON;3;75,57;77;2
43;30189;198;;RUE;DES COLS VERTS;5;93,88;91;1
