reg_code;reg_nom;regrgp_nom
84;Auvergne-Rh�ne-Alpes;Province
32;Hauts-de-France;Province
93;Provence-Alpes-C�te d'Azur;Province
44;Grand Est;Province
76;Occitanie;Province
28;Normandie;Province
75;Nouvelle-Aquitaine;Province
24;Centre-Val de Loire;Province
27;Bourgogne-Franche-Comt�;Province
53;Bretagne;Province
52;Pays de la Loire;Province
11;Ile-de-France;Ile-de-France
01;Guadeloupe;DROM-COM
02;Martinique;DROM-COM
03;Guyane;DROM-COM
04;La R�union;DROM-COM
00;Collectivit�s d'outre-mer;DROM-COM
06;Mayotte;DROM-COM
94;Corse;Province
