Id_bien;Date;Valeur
1;2020-06-30;29500
2;2020-06-30;36000
3;2020-06-30;135000
4;2020-06-30;90000
5;2020-06-30;64600
6;2020-06-30;425000
7;2020-06-30;970000
8;2020-06-30;328300
9;2020-06-30;445100
10;2020-06-30;54000
11;2020-06-30;750000
12;2020-06-30;34000
13;2020-06-30;88000
14;2020-06-30;65000
15;2020-06-30;66500
16;2020-06-30;259000
17;2020-06-30;83000
18;2020-06-30;55000
19;2020-06-30;73000
20;2020-06-30;158000
21;2020-06-30;185000
22;2020-06-30;98000
23;2020-06-30;51000
24;2020-06-30;115000
25;2020-06-30;225000
26;2020-06-30;24850
27;2020-06-30;110000
28;2020-06-30;62000
29;2020-06-30;189000
30;2020-06-30;271850
31;2020-06-30;123000
32;2020-06-30;186000
33;2020-06-30;143500
34;2020-06-30;90700
35;2020-06-30;82500
36;2020-06-30;54440
37;2020-06-30;75000
38;2020-06-30;29000
39;2020-06-30;198000
40;2020-06-30;123000
41;2020-06-30;113000
42;2020-06-30;203310
43;2020-06-30;245000
44;2020-06-30;143000
45;2020-06-30;272150
46;2020-06-30;363050
47;2020-06-30;233600
48;2020-06-30;137500
49;2020-06-30;124700
50;2020-06-30;83120
51;2020-06-30;257700
52;2020-06-30;249000
53;2020-06-30;239450
54;2020-06-30;213000
55;2020-06-30;221800
56;2020-06-30;75000
57;2020-06-30;203000
58;2020-06-30;370000
59;2020-06-30;115000
60;2020-06-30;97400
61;2020-06-30;221552
62;2020-06-30;177500
63;2020-06-30;870000
64;2020-06-30;63000
65;2020-06-30;102972
66;2020-06-30;94310
67;2020-06-30;100000
68;2020-06-30;79000
69;2020-06-30;192000
70;2020-06-30;116000
71;2020-06-30;70000
72;2020-06-30;77200
73;2020-06-30;131320
74;2020-06-30;163000
75;2020-06-30;219800
76;2020-06-30;257000
77;2020-06-30;50000
78;2020-06-30;114000
79;2020-06-30;81000
80;2020-06-30;205000
81;2020-06-30;150300
82;2020-06-30;150000
83;2020-06-30;88000
84;2020-06-30;6500
85;2020-06-30;82000
86;2020-06-30;140000
87;2020-06-30;41000
88;2020-06-30;235000
89;2020-06-30;34000
90;2020-06-30;235000
91;2020-06-30;530000
92;2020-06-30;113000
93;2020-06-30;287000
94;2020-06-30;99000
95;2020-06-30;179500
96;2020-06-30;300000
97;2020-06-30;60000
98;2020-06-30;73000
99;2020-06-30;105000
100;2020-06-30;280000
101;2020-06-30;146000
102;2020-06-30;70000
103;2020-06-30;158000
104;2020-06-30;164000
105;2020-06-30;166862
106;2020-06-30;175000
107;2020-06-30;59000
108;2020-06-30;140500
109;2020-06-30;100000
110;2020-06-30;66500
111;2020-06-30;160000
112;2020-06-30;96900
113;2020-06-30;120000
114;2020-06-30;78500
115;2020-06-30;64000
116;2020-06-30;170000
117;2020-06-30;72000
118;2020-06-30;148000
119;2020-06-30;67000
120;2020-06-30;78000
121;2020-06-30;129500
122;2020-06-30;85000
123;2020-06-30;374000
124;2020-06-30;156000
125;2020-06-30;90700
126;2020-06-30;122600
127;2020-06-30;62000
128;2020-06-30;110240
129;2020-06-30;138000
130;2020-06-30;79500
131;2020-06-30;1940000
132;2020-06-30;279750
133;2020-06-30;76000
134;2020-06-30;125000
135;2020-06-30;167000
136;2020-06-30;108000
137;2020-06-30;69400
138;2020-06-30;104000
139;2020-06-30;45000
140;2020-06-30;50000
141;2020-06-30;529500
142;2020-06-30;63000
143;2020-06-30;115000
144;2020-06-30;63000
145;2020-06-30;65000
146;2020-06-30;55000
147;2020-06-30;135000
148;2020-06-30;108000
149;2020-06-30;90000
150;2020-06-30;35000
151;2020-06-30;364000
152;2020-06-30;120000
153;2020-06-30;210000
154;2020-06-30;148000
155;2020-06-30;187000
156;2020-06-30;172720
157;2020-06-30;221000
158;2020-06-30;403000
159;2020-06-30;321500
160;2020-06-30;282907
161;2020-06-30;690000
162;2020-06-30;195010
163;2020-06-30;320000
164;2020-06-30;405250
165;2020-06-30;130000
166;2020-06-30;419150
167;2020-06-30;220000
168;2020-06-30;180000
169;2020-06-30;376400
170;2020-06-30;155000
171;2020-06-30;64000
172;2020-06-30;21600
173;2020-06-30;65600
174;2020-06-30;85000
175;2020-06-30;495900
176;2020-06-30;212605
177;2020-06-30;223000
178;2020-06-30;2203720
179;2020-06-30;420000
180;2020-06-30;650000
181;2020-06-30;1226200
182;2020-06-30;640000
183;2020-06-30;480450
184;2020-06-30;375000
185;2020-06-30;945000
186;2020-06-30;183264
187;2020-06-30;458000
188;2020-06-30;726000
189;2020-06-30;1290000
190;2020-06-30;232215
191;2020-06-30;975000
192;2020-06-30;630000
193;2020-06-30;1385300
194;2020-06-30;330000
195;2020-06-30;177900
196;2020-06-30;720000
197;2020-06-30;500000
198;2020-06-30;146708
199;2020-06-30;206500
200;2020-06-30;160000
201;2020-06-30;420000
202;2020-06-30;352400
203;2020-06-30;80000
204;2020-06-30;223000
205;2020-06-30;561000
206;2020-06-30;706720
207;2020-06-30;940000
208;2020-06-30;330000
209;2020-06-30;3142400
210;2020-06-30;275500
211;2020-06-30;480000
212;2020-06-30;620000
213;2020-06-30;618450
214;2020-06-30;412846
215;2020-06-30;210000
216;2020-06-30;527450
217;2020-06-30;305000
218;2020-06-30;526660
219;2020-06-30;214000
220;2020-06-30;560114
221;2020-06-30;182000
222;2020-06-30;694000
223;2020-06-30;610329
224;2020-06-30;283000
225;2020-06-30;616000
226;2020-06-30;780000
227;2020-06-30;425000
228;2020-06-30;1199850
229;2020-06-30;160000
230;2020-06-30;760000
231;2020-06-30;390000
232;2020-06-30;840000
233;2020-06-30;282000
234;2020-06-30;240000
235;2020-06-30;2088000
236;2020-06-30;2122400
237;2020-06-30;2390000
238;2020-06-30;255000
239;2020-06-30;635000
240;2020-06-30;448500
241;2020-06-30;424000
242;2020-06-30;316280
243;2020-06-30;928000
244;2020-06-30;186500
245;2020-06-30;179000
246;2020-06-30;152312
247;2020-06-30;635300
248;2020-06-30;265000
249;2020-06-30;402800
250;2020-06-30;98000
251;2020-06-30;136000
252;2020-06-30;485000
253;2020-06-30;195000
254;2020-06-30;835000
255;2020-06-30;405800
256;2020-06-30;375000
257;2020-06-30;445000
258;2020-06-30;1195000
259;2020-06-30;275000
260;2020-06-30;745200
261;2020-06-30;213000
262;2020-06-30;425324
263;2020-06-30;130000
264;2020-06-30;74000
265;2020-06-30;115000
266;2020-06-30;107500
267;2020-06-30;115000
268;2020-06-30;112000
269;2020-06-30;170000
